Econòmic,Orgànic,Subprograma,Text subprograma,PREV. INICIAL,PREV.DEFINITIVA,LIQUIDAT,Any
39100,610,93219,Serveis d’ingressos,0,0,0,2015
39120,401,93219,Serveis d’ingressos,45510560.71,45510560.71,55312491.57,2015
39130,101,93219,Serveis d’ingressos,1353297.69,1353297.69,12703616.82,2015
39130,401,93219,Serveis d’ingressos,33832.44,33832.44,8180.97,2015
39130,502,93219,Serveis d’ingressos,405989.31,405989.31,110642.11,2015
39130,601,93219,Serveis d’ingressos,632500,632500,2622935.43,2015
39130,602,93219,Serveis d’ingressos,460000,460000,1137150.08,2015
39130,603,93219,Serveis d’ingressos,138000,138000,620660.21,2015
39130,604,93219,Serveis d’ingressos,80500,80500,115057.72,2015
39130,605,93219,Serveis d’ingressos,115000,115000,442177.37,2015
39130,606,93219,Serveis d’ingressos,138000,138000,298068.61,2015
39130,607,93219,Serveis d’ingressos,85675,85675,342699.06,2015
39130,608,93219,Serveis d’ingressos,132250,132250,487165.97,2015
39130,609,93219,Serveis d’ingressos,111856.6,111856.6,324607.52,2015
39130,610,93219,Serveis d’ingressos,149500,149500,483545.4,2015
39130,703,93219,Serveis d’ingressos,40598.93,40598.93,5760516.48,2015
39140,101,93219,Serveis d’ingressos,670926.27,670926.27,399.66,2015
39140,703,93219,Serveis d’ingressos,1502073.73,1502073.73,3131279.86,2015
39191,101,93219,Serveis d’ingressos,10,10,0,2015
39191,201,93219,Serveis d’ingressos,10,10,0,2015
39191,401,93219,Serveis d’ingressos,10,10,0,2015
39191,501,93219,Serveis d’ingressos,10,10,0,2015
39191,502,93219,Serveis d’ingressos,10,10,8449.14,2015
39191,601,93219,Serveis d’ingressos,10,10,0,2015
39191,602,93219,Serveis d’ingressos,10,10,0,2015
39191,603,93219,Serveis d’ingressos,10,10,0,2015
39191,604,93219,Serveis d’ingressos,10,10,0,2015
39191,605,93219,Serveis d’ingressos,10,10,0,2015
39191,606,93219,Serveis d’ingressos,10,10,0,2015
39191,607,93219,Serveis d’ingressos,10,10,0,2015
39191,608,93219,Serveis d’ingressos,10,10,0,2015
39191,609,93219,Serveis d’ingressos,10,10,0,2015
39191,610,93219,Serveis d’ingressos,10,10,0,2015
39191,701,93219,Serveis d’ingressos,10,10,0,2015
39191,702,93219,Serveis d’ingressos,10,10,0,2015
39191,703,93219,Serveis d’ingressos,10,10,0,2015
39191,801,93219,Serveis d’ingressos,10,10,0,2015
39200,703,93219,Serveis d’ingressos,470000,470000,630642.47,2015
39210,703,93219,Serveis d’ingressos,8425000,8425000,2165241.29,2015
39211,703,93219,Serveis d’ingressos,1813000,1813000,6586313.83,2015
39300,101,93219,Serveis d’ingressos,11.18,11.18,1104.68,2015
39300,703,93219,Serveis d’ingressos,7162988.82,7162988.82,7948328.41,2015
39612,504,93219,Serveis d’ingressos,0,0,243356.54,2015
39612,703,93219,Serveis d’ingressos,10,10,4942.15,2015
39700,703,15050,Patrimoni Municipal d'Urbanisme (ingressos),0,0,1234777.91,2015
39700,703,93219,Serveis d’ingressos,10,10,0,2015
39900,501,93219,Serveis d’ingressos,596209.64,596209.64,0,2015
39900,502,93219,Serveis d’ingressos,595690.4,595690.4,0,2015
39900,601,93219,Serveis d’ingressos,10,10,941564.69,2015
39900,602,93219,Serveis d’ingressos,10,10,158767.04,2015
39900,603,93219,Serveis d’ingressos,10,10,31300.29,2015
39900,604,93219,Serveis d’ingressos,10,10,1169.28,2015
39900,605,93219,Serveis d’ingressos,10,10,-30363.5,2015
39900,606,93219,Serveis d’ingressos,10,10,430.37,2015
39900,607,93219,Serveis d’ingressos,10,10,238500.54,2015
39900,608,93219,Serveis d’ingressos,10,10,1167.12,2015
39900,609,93219,Serveis d’ingressos,10,10,194.52,2015
39900,610,93219,Serveis d’ingressos,10,10,12237.6,2015
39901,101,93219,Serveis d’ingressos,536000,536000,416135.43,2015
39902,401,93219,Serveis d’ingressos,10,10,0,2015
39903,101,93219,Serveis d’ingressos,10,10,0,2015
39904,101,93219,Serveis d’ingressos,10,10,112910.78,2015
39904,201,93219,Serveis d’ingressos,10,10,8801.83,2015
39904,401,93219,Serveis d’ingressos,50000,50000,56503.8,2015
39904,501,93219,Serveis d’ingressos,25000,25000,0,2015
39904,502,93219,Serveis d’ingressos,155000,155000,210010.43,2015
39904,601,93219,Serveis d’ingressos,10,10,3644.17,2015
39904,602,93219,Serveis d’ingressos,11500,11500,29192.02,2015
39904,603,93219,Serveis d’ingressos,44850,44850,22123.26,2015
